X;Y;VARIABLE
66.000;154.000;5.645
154.000;242.000;1.065
66.000;462.000;2.882
66.000;726.000;3.026
22.000;946.000;1.007
198.000;1122.000;9.249
22.000;1254.000;9.368
110.000;1386.000;4.899
110.000;1694.000;4.488
198.000;1870.000;2.395
110.000;2002.000;1.614
242.000;198.000;3.863
374.000;330.000;1.835
330.000;418.000;3.208
374.000;594.000;2.142
330.000;814.000;5.151
374.000;990.000;4.043
286.000;1298.000;0.782
374.000;1430.000;0.816
286.000;1606.000;5.422
242.000;1738.000;2.113
242.000;1914.000;3.609
418.000;198.000;6.155
462.000;374.000;2.011
418.000;462.000;3.787
462.000;770.000;1.213
418.000;902.000;4.306
462.000;990.000;3.305
506.000;1166.000;5.097
462.000;1474.000;1.465
506.000;1694.000;1.201
418.000;1870.000;8.404
550.000;2090.000;1.062
594.000;110.000;0.786
594.000;374.000;2.781
682.000;506.000;4.489
682.000;638.000;0.984
682.000;814.000;2.142
682.000;990.000;4.471
594.000;1298.000;4.166
638.000;1342.000;3.822
594.000;1694.000;2.643
726.000;1782.000;2.386
638.000;1958.000;0.565
814.000;22.000;2.550
858.000;242.000;4.211
858.000;418.000;2.742
902.000;638.000;1.077
858.000;858.000;4.564
902.000;990.000;7.338
858.000;1166.000;1.580
902.000;1474.000;8.998
770.000;1562.000;1.058
814.000;1782.000;1.211
902.000;2090.000;2.711
990.000;198.000;3.434
990.000;286.000;1.457
1034.000;506.000;3.955
1078.000;726.000;5.386
1034.000;946.000;4.470
946.000;1078.000;3.200
1034.000;1254.000;0.857
990.000;1474.000;10.474
1034.000;1606.000;4.339
990.000;1870.000;1.504
990.000;2046.000;1.062
1254.000;198.000;1.758
1210.000;374.000;3.821
1254.000;506.000;1.581
1122.000;770.000;5.559
1254.000;946.000;1.062
1166.000;1078.000;0.954
1122.000;1254.000;0.444
1166.000;1430.000;6.398
1122.000;1562.000;7.932
1254.000;1738.000;3.341
1254.000;2046.000;7.109
1298.000;66.000;2.903
1430.000;374.000;0.819
1298.000;418.000;4.135
1386.000;638.000;2.681
1298.000;858.000;0.362
1430.000;1034.000;0.447
1342.000;1298.000;2.468
1298.000;1474.000;2.997
1298.000;1562.000;5.902
1342.000;1782.000;2.338
1386.000;2002.000;1.881
1562.000;198.000;1.300
1562.000;330.000;0.575
1562.000;418.000;0.585
1606.000;638.000;2.899
1562.000;902.000;3.038
1518.000;1078.000;0.544
1474.000;1254.000;8.250
1518.000;1430.000;3.804
1606.000;1694.000;4.884
1518.000;1826.000;0.881
1562.000;1914.000;0.827
1694.000;154.000;1.194
1826.000;286.000;4.543
1782.000;550.000;3.194
1694.000;638.000;2.832
1650.000;946.000;2.349
1826.000;1034.000;3.803
1826.000;1210.000;0.952
1738.000;1430.000;1.107
1738.000;1694.000;3.040
1738.000;1826.000;3.783
1738.000;1958.000;2.707
