Well;Easting;Northing;Thickness
3;2.097;4.611;10
5;1.863;4.37;25
6;2.112;4.371;13
7;2.175;4.317;4
10;1.634;4.136;8
11;1.88;4.126;26
12;2.096;4.129;16
14;1.613;3.885;27
15;1.841;3.883;33
16;2.113;3.881;16
18;1.61;3.628;38
19;1.861;3.627;40
20;2.088;3.627;29
21;2.358;3.627;9
23;1.365;3.381;6
24;1.614;3.382;37
25;1.863;3.38;24
26;2.088;3.38;15
29;1.342;3.27;10
30;1.177;3.131;2
31;1.363;3.131;18
32;1.614;3.13;31
33;1.862;3.132;23
34;2.117;3.129;9
36;1.118;2.883;5
37;1.363;2.88;17
38;1.614;2.881;21
39;1.861;2.882;22
40;1.924;2.943;23
41;2.113;2.878;13
44;1.151;2.628;8
45;1.362;2.628;16
46;1.615;2.631;19
47;1.862;2.629;22
48;2.088;2.626;11
49;1.14;2.381;10
50;1.373;2.38;16
51;1.615;2.378;19
52;1.862;2.379;21
53;2.127;2.388;18
54;2.363;2.377;8
57;1.142;2.127;10
58;1.364;2.129;13
59;1.616;2.127;19
60;1.864;2.127;22
61;2.092;2.124;22
62;2.363;2.125;18
63;2.612;2.124;6
65;1.121;1.878;8
66;1.369;1.88;14
67;1.676;1.937;18
68;1.866;1.88;20
69;2.116;1.881;19
70;2.339;1.875;14
73;1.123;1.626;8
74;1.369;1.627;12
75;1.614;1.628;16
76;1.867;1.627;20
77;2.117;1.626;19
80;0.887;1.396;3
81;1.157;1.371;8
82;1.372;1.373;10
83;1.616;1.374;15
84;1.868;1.386;29
86;1.137;1.133;8
87;1.373;1.122;9
88;1.616;1.123;11
89;1.867;1.121;14
91;1.121;0.872;6
92;1.4;0.874;7
93;1.592;0.899;12
94;1.849;0.872;13
95;1.12;0.616;4
96;1.397;0.619;4
97;1.623;0.639;15
99;1.374;0.371;5
